"Q1.2","Q10.12","zipcodeflag"
"10462 Pelham - Throgs Neck (Bronx)","10456 High Bridge - Morrisania (Bronx)",0
"10002 Union Square - Lower East Side (Manhattan)","10025 Upper West Side (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11220 Sunset Park (Brooklyn)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)","10021 Upper East Side (Manhattan)",0
"10025 Upper West Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"10001 Chelsea - Clinton (Manhattan)","11221 Williamsburg - Bushwick (Brooklyn)",0
"10103 Chelsea - Clinton (Manhattan)",NA,NA
"10025 Upper West Side (Manhattan)","10017 Gramercy Park - Murray Hill (Manhattan)",0
"10029 East Harlem (Manhattan)",NA,NA
"10039 Washington Heights (Manhattan)","10021 Upper East Side (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"10005 Lower Manhattan (Manhattan)","10004 Lower Manhattan (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11201 Downtown - Heights - Slope (Brooklyn)",0
"10453 Crotona -Tremont (Bronx)",NA,NA
"10302 Port Richmond (Staten Island)","10301 Stapleton - St. George (Staten Island)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11210 East Flatbush - Flatbush (Brooklyn)",0
"10029 East Harlem (Manhattan)",NA,NA
"10003 Union Square - Lower East Side (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"10025 Upper West Side (Manhattan)","10028 Upper East Side (Manhattan)",0
"10025 Upper West Side (Manhattan)","10036 Chelsea - Clinton (Manhattan)",0
"11206 Williamsburg - Bushwick (Brooklyn)",NA,NA
"10001 Chelsea - Clinton (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11221 Williamsburg - Bushwick (Brooklyn)","11206 Williamsburg - Bushwick (Brooklyn)",0
"11212 Bedford Stuyvesant - Crown Heights (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10304 Stapleton - St. George (Staten Island)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11433 Jamaica (Queens)","11104 Long Island City - Astoria (Queens)",0
"10005 Lower Manhattan (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10029 East Harlem (Manhattan)","10032 Washington Heights (Manhattan)",0
"11375 Ridgewood - Forest Hills (Queens)",NA,NA
"11101 Long Island City - Astoria (Queens)",NA,NA
"11221 Williamsburg - Bushwick (Brooklyn)",NA,NA
"10005 Lower Manhattan (Manhattan)","10004 Lower Manhattan (Manhattan)",0
"11373 West Queens (Queens)","11375 Ridgewood - Forest Hills (Queens)",0
"10468 Fordham - Bronx Pk (Bronx)","11208 East New York (Brooklyn)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"10304 Stapleton - St. George (Staten Island)","10303 Port Richmond (Staten Island)",0
"10459 Hunts Point - Mott Haven (Bronx)",NA,NA
"11230 Borough Park (Brooklyn)","11424 Southwest Queens (Queens)",0
"10464 Pelham - Throgs Neck (Bronx)","10471 Kingsbridge - Riverdale (Bronx)",0
"10025 Upper West Side (Manhattan)",NA,NA
"10001 Chelsea - Clinton (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10001 Chelsea - Clinton (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10304 Stapleton - St. George (Staten Island)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10025 Upper West Side (Manhattan)",NA,NA
"11206 Williamsburg - Bushwick (Brooklyn)","11225 East Flatbush - Flatbush (Brooklyn)",0
"10029 East Harlem (Manhattan)","10027 Central Harlem - Morningside Heights (Manhattan)",0
"10025 Upper West Side (Manhattan)",NA,NA
"10474 Hunts Point - Mott Haven (Bronx)","10473 Pelham - Throgs Neck (Bronx)",0
"10044 Upper East Side (Manhattan)","10021 Upper East Side (Manhattan)",0
"10029 East Harlem (Manhattan)",NA,NA
"10473 Pelham - Throgs Neck (Bronx)","10065 Upper East Side (Manhattan)",0
"11692 Rockaways (Queens)","11217 Downtown - Heights - Slope (Brooklyn)",0
"11433 Jamaica (Queens)",NA,NA
"10026 Central Harlem - Morningside Heights (Manhattan)","10035 East Harlem (Manhattan)",0
"10029 East Harlem (Manhattan)","10036 Chelsea - Clinton (Manhattan)",0
"10304 Stapleton - St. George (Staten Island)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10001 Chelsea - Clinton (Manhattan)",0
"10452 High Bridge - Morrisania (Bronx)","10453 Crotona -Tremont (Bronx)",0
"10453 Crotona -Tremont (Bronx)","10005 Lower Manhattan (Manhattan)",0
"10453 Crotona -Tremont (Bronx)","10458 Fordham - Bronx Pk (Bronx)",0
"10453 Crotona -Tremont (Bronx)","10001 Chelsea - Clinton (Manhattan)",0
"11101 Long Island City - Astoria (Queens)",NA,NA
"10029 East Harlem (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11234 Canarsie - Flatlands (Brooklyn)","11219 Borough Park (Brooklyn)",0
"11692 Rockaways (Queens)","10470 Fordham - Bronx Pk (Bronx)",0
"10029 East Harlem (Manhattan)",NA,NA
"10304 Stapleton - St. George (Staten Island)","10036 Chelsea - Clinton (Manhattan)",0
"10453 Crotona -Tremont (Bronx)","11385 Ridgewood - Forest Hills (Queens)",0
"10453 Crotona -Tremont (Bronx)",NA,NA
"10467 Fordham - Bronx Pk (Bronx)","10453 Crotona -Tremont (Bronx)",0
"11428 Southeast Queens (Queens)","11692 Rockaways (Queens)",0
"10020 Chelsea - Clinton (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10025 Upper West Side (Manhattan)",NA,NA
"11422 Southeast Queens (Queens)","11361 Bayside - Little Neck (Queens)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10001 Chelsea - Clinton (Manhattan)",0
"10463 Kingsbridge - Riverdale (Bronx)","10453 Crotona -Tremont (Bronx)",0
"11420 Southwest Queens (Queens)","10169 Gramercy Park - Murray Hill (Manhattan)",0
"10025 Upper West Side (Manhattan)","10028 Upper East Side (Manhattan)",0
"11433 Jamaica (Queens)",NA,NA
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"10029 East Harlem (Manhattan)",NA,NA
"10453 Crotona -Tremont (Bronx)",NA,NA
"11220 Sunset Park (Brooklyn)","11218 Borough Park (Brooklyn)",0
"11220 Sunset Park (Brooklyn)","10006 Lower Manhattan (Manhattan)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10001 Chelsea - Clinton (Manhattan)",0
"11419 Southwest Queens (Queens)","11224 Coney Island - Sheepshead Bay (Brooklyn)",0
"11433 Jamaica (Queens)","10004 Lower Manhattan (Manhattan)",0
"11101 Long Island City - Astoria (Queens)","11207 East New York (Brooklyn)",0
"11385 Ridgewood - Forest Hills (Queens)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)","11201 Downtown - Heights - Slope (Brooklyn)",0
"10014 Greenwich Village - SoHo (Manhattan)","10004 Lower Manhattan (Manhattan)",0
"11101 Long Island City - Astoria (Queens)","Outside New York City (nowhere in the five boroughs)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11219 Borough Park (Brooklyn)",0
"11433 Jamaica (Queens)",NA,NA
"10040 Washington Heights (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11420 Southwest Queens (Queens)","10035 East Harlem (Manhattan)",0
"10304 Stapleton - St. George (Staten Island)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)","11215 Downtown - Heights - Slope (Brooklyn)",0
"10025 Upper West Side (Manhattan)",NA,NA
"10024 Upper West Side (Manhattan)","10013 Greenwich Village - SoHo (Manhattan)",0
"10282 Lower Manhattan (Manhattan)",NA,NA
"10473 Pelham - Throgs Neck (Bronx)","10453 Crotona -Tremont (Bronx)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10011 Chelsea - Clinton (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)","11101 Long Island City - Astoria (Queens)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10019 Chelsea - Clinton (Manhattan)",0
"10025 Upper West Side (Manhattan)","10018 Chelsea - Clinton (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11355 Flushing - Clearview (Queens)",0
"10007 Lower Manhattan (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"10304 Stapleton - St. George (Staten Island)","10312 South Beach - Tottenville (Staten Island)",0
"10025 Upper West Side (Manhattan)","10004 Lower Manhattan (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)","10453 Crotona -Tremont (Bronx)",0
"11234 Canarsie - Flatlands (Brooklyn)","10027 Central Harlem - Morningside Heights (Manhattan)",0
"10453 Crotona -Tremont (Bronx)",NA,NA
"11375 Ridgewood - Forest Hills (Queens)","10026 Central Harlem - Morningside Heights (Manhattan)",0
"10302 Port Richmond (Staten Island)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)","10022 Gramercy Park - Murray Hill (Manhattan)",0
"11433 Jamaica (Queens)","11436 Jamaica (Queens)",0
"10006 Lower Manhattan (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10065 Upper East Side (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10021 Upper East Side (Manhattan)",0
"11374 Ridgewood - Forest Hills (Queens)",NA,NA
"10475 Northeast Bronx (Bronx)","11356 Flushing - Clearview (Queens)",0
"11433 Jamaica (Queens)","10003 Union Square - Lower East Side (Manhattan)",0
"11433 Jamaica (Queens)","10001 Chelsea - Clinton (Manhattan)",0
"10304 Stapleton - St. George (Staten Island)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","11207 East New York (Brooklyn)",0
"11209 Bensonhurst - Bay Ridge (Brooklyn)","11231 Downtown - Heights - Slope (Brooklyn)",0
"10001 Chelsea - Clinton (Manhattan)","10021 Upper East Side (Manhattan)",0
"11203 East Flatbush - Flatbush (Brooklyn)","10033 Washington Heights (Manhattan)",0
"10169 Gramercy Park - Murray Hill (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"11220 Sunset Park (Brooklyn)","Outside New York City (nowhere in the five boroughs)",0
"10037 Central Harlem - Morningside Heights (Manhattan)",NA,NA
"11229 Coney Island - Sheepshead Bay (Brooklyn)","11211 Greenpoint (Brooklyn)",0
"10025 Upper West Side (Manhattan)","10031 Washington Heights (Manhattan)",0
"10310 Port Richmond (Staten Island)","10075 Upper East Side (Manhattan)",0
"11220 Sunset Park (Brooklyn)","10002 Union Square - Lower East Side (Manhattan)",0
"10005 Lower Manhattan (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"10029 East Harlem (Manhattan)",NA,NA
"10302 Port Richmond (Staten Island)",NA,NA
"10007 Lower Manhattan (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11210 East Flatbush - Flatbush (Brooklyn)",0
"11435 Jamaica (Queens)","11691 Rockaways (Queens)",0
"11420 Southwest Queens (Queens)","11101 Long Island City - Astoria (Queens)",0
"11377 West Queens (Queens)","10011 Chelsea - Clinton (Manhattan)",0
"11375 Ridgewood - Forest Hills (Queens)",NA,NA
"10012 Greenwich Village - SoHo (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","Outside New York City (nowhere in the five boroughs)",0
"11375 Ridgewood - Forest Hills (Queens)","10019 Chelsea - Clinton (Manhattan)",0
"10111 Chelsea - Clinton (Manhattan)","11101 Long Island City - Astoria (Queens)",0
"10025 Upper West Side (Manhattan)","10036 Chelsea - Clinton (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11375 Ridgewood - Forest Hills (Queens)",NA,NA
"11412 Jamaica (Queens)","11226 East Flatbush - Flatbush (Brooklyn)",0
"10025 Upper West Side (Manhattan)",NA,NA
"11101 Long Island City - Astoria (Queens)",NA,NA
"11101 Long Island City - Astoria (Queens)","10022 Gramercy Park - Murray Hill (Manhattan)",0
"10453 Crotona -Tremont (Bronx)","10455 Hunts Point - Mott Haven (Bronx)",0
"10025 Upper West Side (Manhattan)",NA,NA
"11206 Williamsburg - Bushwick (Brooklyn)","10009 Union Square - Lower East Side (Manhattan)",0
"11692 Rockaways (Queens)","10028 Upper East Side (Manhattan)",0
"10453 Crotona -Tremont (Bronx)",NA,NA
"10271 Lower Manhattan (Manhattan)","10020 Chelsea - Clinton (Manhattan)",0
"11220 Sunset Park (Brooklyn)","11210 East Flatbush - Flatbush (Brooklyn)",0
"10002 Union Square - Lower East Side (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"10029 East Harlem (Manhattan)","10027 Central Harlem - Morningside Heights (Manhattan)",0
"10453 Crotona -Tremont (Bronx)","10474 Hunts Point - Mott Haven (Bronx)",0
"11101 Long Island City - Astoria (Queens)","10278 Lower Manhattan (Manhattan)",0
"11433 Jamaica (Queens)","11368 Flushing - Clearview (Queens)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10002 Union Square - Lower East Side (Manhattan)",0
"10002 Union Square - Lower East Side (Manhattan)","11226 East Flatbush - Flatbush (Brooklyn)",0
"11206 Williamsburg - Bushwick (Brooklyn)",NA,NA
"10025 Upper West Side (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)","10065 Upper East Side (Manhattan)",0
"10453 Crotona -Tremont (Bronx)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10029 East Harlem (Manhattan)",NA,NA
"10455 Hunts Point - Mott Haven (Bronx)",NA,NA
"11101 Long Island City - Astoria (Queens)","10472 Pelham - Throgs Neck (Bronx)",0
"11209 Bensonhurst - Bay Ridge (Brooklyn)","10001 Chelsea - Clinton (Manhattan)",0
"11433 Jamaica (Queens)",NA,NA
"10025 Upper West Side (Manhattan)","10036 Chelsea - Clinton (Manhattan)",0
"10007 Lower Manhattan (Manhattan)","11226 East Flatbush - Flatbush (Brooklyn)",0
"10458 Fordham - Bronx Pk (Bronx)","Outside New York City (nowhere in the five boroughs)",0
"10012 Greenwich Village - SoHo (Manhattan)","10453 Crotona -Tremont (Bronx)",0
"10302 Port Richmond (Staten Island)",NA,NA
"11221 Williamsburg - Bushwick (Brooklyn)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","10271 Lower Manhattan (Manhattan)",0
"10040 Washington Heights (Manhattan)",NA,NA
"11206 Williamsburg - Bushwick (Brooklyn)","11237 Williamsburg - Bushwick (Brooklyn)",0
"10304 Stapleton - St. George (Staten Island)","10301 Stapleton - St. George (Staten Island)",0
"10467 Fordham - Bronx Pk (Bronx)","10457 Crotona -Tremont (Bronx)",0
"11207 East New York (Brooklyn)","11433 Jamaica (Queens)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"10152 Gramercy Park - Murray Hill (Manhattan)","10016 Gramercy Park - Murray Hill (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"11435 Jamaica (Queens)","11691 Rockaways (Queens)",0
"11220 Sunset Park (Brooklyn)",NA,NA
"11217 Downtown - Heights - Slope (Brooklyn)","11103 Long Island City - Astoria (Queens)",0
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10025 Upper West Side (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11220 Sunset Park (Brooklyn)","10301 Stapleton - St. George (Staten Island)",0
"11101 Long Island City - Astoria (Queens)","10173 Gramercy Park - Murray Hill (Manhattan)",0
"10029 East Harlem (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"11203 East Flatbush - Flatbush (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11234 Canarsie - Flatlands (Brooklyn)","10021 Upper East Side (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10002 Union Square - Lower East Side (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10304 Stapleton - St. George (Staten Island)","10312 South Beach - Tottenville (Staten Island)",0
"10025 Upper West Side (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10006 Lower Manhattan (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11206 Williamsburg - Bushwick (Brooklyn)",NA,NA
"10029 East Harlem (Manhattan)",NA,NA
"10453 Crotona -Tremont (Bronx)","10028 Upper East Side (Manhattan)",0
"11220 Sunset Park (Brooklyn)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","11222 Greenpoint (Brooklyn)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"11206 Williamsburg - Bushwick (Brooklyn)","10016 Gramercy Park - Murray Hill (Manhattan)",0
"10001 Chelsea - Clinton (Manhattan)","10009 Union Square - Lower East Side (Manhattan)",0
"11225 East Flatbush - Flatbush (Brooklyn)","11226 East Flatbush - Flatbush (Brooklyn)",0
"11239 Canarsie - Flatlands (Brooklyn)","11221 Williamsburg - Bushwick (Brooklyn)",0
"10014 Greenwich Village - SoHo (Manhattan)","10012 Greenwich Village - SoHo (Manhattan)",0
"10025 Upper West Side (Manhattan)","10007 Lower Manhattan (Manhattan)",0
"11433 Jamaica (Queens)","11364 Bayside - Little Neck (Queens)",0
"11373 West Queens (Queens)",NA,NA
"10006 Lower Manhattan (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"10029 East Harlem (Manhattan)",NA,NA
"11103 Long Island City - Astoria (Queens)","10036 Chelsea - Clinton (Manhattan)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10005 Lower Manhattan (Manhattan)",0
"11101 Long Island City - Astoria (Queens)","11360 Flushing - Clearview (Queens)",0
"11206 Williamsburg - Bushwick (Brooklyn)","11233 Bedford Stuyvesant - Crown Heights (Brooklyn)",0
"10029 East Harlem (Manhattan)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10306 South Beach - Tottenville (Staten Island)","11235 Coney Island - Sheepshead Bay (Brooklyn)",0
"10029 East Harlem (Manhattan)",NA,NA
"10453 Crotona -Tremont (Bronx)","10462 Pelham - Throgs Neck (Bronx)",0
"10005 Lower Manhattan (Manhattan)","10025 Upper West Side (Manhattan)",0
"10453 Crotona -Tremont (Bronx)",NA,NA
"11226 East Flatbush - Flatbush (Brooklyn)","11210 East Flatbush - Flatbush (Brooklyn)",0
"11206 Williamsburg - Bushwick (Brooklyn)","11207 East New York (Brooklyn)",0
"11218 Borough Park (Brooklyn)","11423 Jamaica (Queens)",0
"10002 Union Square - Lower East Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"11228 Bensonhurst - Bay Ridge (Brooklyn)","10169 Gramercy Park - Murray Hill (Manhattan)",0
"10005 Lower Manhattan (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10170 Gramercy Park - Murray Hill (Manhattan)","10012 Greenwich Village - SoHo (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)","10279 Lower Manhattan (Manhattan)",0
"10002 Union Square - Lower East Side (Manhattan)",NA,NA
"11433 Jamaica (Queens)","10019 Chelsea - Clinton (Manhattan)",0
"10304 Stapleton - St. George (Staten Island)","10004 Lower Manhattan (Manhattan)",0
"10304 Stapleton - St. George (Staten Island)","10023 Upper West Side (Manhattan)",0
"11238 Bedford Stuyvesant - Crown Heights (Brooklyn)",NA,NA
"10009 Union Square - Lower East Side (Manhattan)",NA,NA
"10029 East Harlem (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10018 Chelsea - Clinton (Manhattan)",0
"10025 Upper West Side (Manhattan)",NA,NA
"11234 Canarsie - Flatlands (Brooklyn)","10025 Upper West Side (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10005 Lower Manhattan (Manhattan)","10012 Greenwich Village - SoHo (Manhattan)",0
"11234 Canarsie - Flatlands (Brooklyn)","11203 East Flatbush - Flatbush (Brooklyn)",0
"10029 East Harlem (Manhattan)","10468 Fordham - Bronx Pk (Bronx)",0
"11213 Bedford Stuyvesant - Crown Heights (Brooklyn)","11234 Canarsie - Flatlands (Brooklyn)",0
"10025 Upper West Side (Manhattan)","10027 Central Harlem - Morningside Heights (Manhattan)",0
"10003 Union Square - Lower East Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11385 Ridgewood - Forest Hills (Queens)",0
"11374 Ridgewood - Forest Hills (Queens)",NA,NA
"10473 Pelham - Throgs Neck (Bronx)","10279 Lower Manhattan (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)","Outside New York City (nowhere in the five boroughs)",0
"10025 Upper West Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"10010 Gramercy Park - Murray Hill (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"10162 Upper East Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"10001 Chelsea - Clinton (Manhattan)","10023 Upper West Side (Manhattan)",0
"10009 Union Square - Lower East Side (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"11433 Jamaica (Queens)","11368 Flushing - Clearview (Queens)",0
"10009 Union Square - Lower East Side (Manhattan)","10004 Lower Manhattan (Manhattan)",0
"10069 Upper West Side (Manhattan)","10006 Lower Manhattan (Manhattan)",0
"10027 Central Harlem - Morningside Heights (Manhattan)",NA,NA
"10003 Union Square - Lower East Side (Manhattan)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11694 Rockaways (Queens)","10005 Lower Manhattan (Manhattan)",0
"11220 Sunset Park (Brooklyn)","11221 Williamsburg - Bushwick (Brooklyn)",0
"10029 East Harlem (Manhattan)",NA,NA
"11103 Long Island City - Astoria (Queens)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10003 Union Square - Lower East Side (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"10452 High Bridge - Morrisania (Bronx)","10453 Crotona -Tremont (Bronx)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11210 East Flatbush - Flatbush (Brooklyn)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10278 Lower Manhattan (Manhattan)",0
"11423 Jamaica (Queens)","11436 Jamaica (Queens)",0
"11224 Coney Island - Sheepshead Bay (Brooklyn)","10002 Union Square - Lower East Side (Manhattan)",0
"11231 Downtown - Heights - Slope (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"10035 East Harlem (Manhattan)",NA,NA
"11236 Canarsie - Flatlands (Brooklyn)","11213 Bedford Stuyvesant - Crown Heights (Brooklyn)",0
"10473 Pelham - Throgs Neck (Bronx)","10030 Central Harlem - Morningside Heights (Manhattan)",0
"10005 Lower Manhattan (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)","10457 Crotona -Tremont (Bronx)",0
"11206 Williamsburg - Bushwick (Brooklyn)",NA,NA
"11206 Williamsburg - Bushwick (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11220 Sunset Park (Brooklyn)","11232 Sunset Park (Brooklyn)",0
"10311 Willowbrook (Staten Island)","10016 Gramercy Park - Murray Hill (Manhattan)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10001 Chelsea - Clinton (Manhattan)",0
"11109 Long Island City - Astoria (Queens)","11223 Coney Island - Sheepshead Bay (Brooklyn)",0
"10453 Crotona -Tremont (Bronx)","10038 Lower Manhattan (Manhattan)",0
"10025 Upper West Side (Manhattan)",NA,NA
"11433 Jamaica (Queens)","11368 Flushing - Clearview (Queens)",0
"10453 Crotona -Tremont (Bronx)",NA,NA
"11220 Sunset Park (Brooklyn)","10128 Upper East Side (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)","10010 Gramercy Park - Murray Hill (Manhattan)",0
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
"10302 Port Richmond (Staten Island)","10314 Willowbrook (Staten Island)",0
"11234 Canarsie - Flatlands (Brooklyn)","11224 Coney Island - Sheepshead Bay (Brooklyn)",0
"10001 Chelsea - Clinton (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"11375 Ridgewood - Forest Hills (Queens)",NA,NA
"10007 Lower Manhattan (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"10467 Fordham - Bronx Pk (Bronx)","10003 Union Square - Lower East Side (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)","Outside New York City (nowhere in the five boroughs)",0
"10452 High Bridge - Morrisania (Bronx)","11415 Southwest Queens (Queens)",0
"10473 Pelham - Throgs Neck (Bronx)","10459 Hunts Point - Mott Haven (Bronx)",0
"10302 Port Richmond (Staten Island)",NA,NA
"10005 Lower Manhattan (Manhattan)",NA,NA
"11207 East New York (Brooklyn)",NA,NA
"10029 East Harlem (Manhattan)",NA,NA
"10007 Lower Manhattan (Manhattan)","Outside New York City (nowhere in the five boroughs)",0
"10301 Stapleton - St. George (Staten Island)",NA,NA
"10115 Central Harlem - Morningside Heights (Manhattan)",NA,NA
"11210 East Flatbush - Flatbush (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11234 Canarsie - Flatlands (Brooklyn)",NA,NA
"10003 Union Square - Lower East Side (Manhattan)","10002 Union Square - Lower East Side (Manhattan)",0
"11220 Sunset Park (Brooklyn)","11229 Coney Island - Sheepshead Bay (Brooklyn)",0
"10029 East Harlem (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"11236 Canarsie - Flatlands (Brooklyn)","11210 East Flatbush - Flatbush (Brooklyn)",0
"10457 Crotona -Tremont (Bronx)","10004 Lower Manhattan (Manhattan)",0
"11101 Long Island City - Astoria (Queens)","10001 Chelsea - Clinton (Manhattan)",0
"10029 East Harlem (Manhattan)","10018 Chelsea - Clinton (Manhattan)",0
"10473 Pelham - Throgs Neck (Bronx)",NA,NA
"10472 Pelham - Throgs Neck (Bronx)","11225 East Flatbush - Flatbush (Brooklyn)",0
"11226 East Flatbush - Flatbush (Brooklyn)","10003 Union Square - Lower East Side (Manhattan)",0
"10025 Upper West Side (Manhattan)","10035 East Harlem (Manhattan)",0
"10475 Northeast Bronx (Bronx)",NA,NA
"10003 Union Square - Lower East Side (Manhattan)","10001 Chelsea - Clinton (Manhattan)",0
"11433 Jamaica (Queens)","11368 Flushing - Clearview (Queens)",0
"10011 Chelsea - Clinton (Manhattan)","10003 Union Square - Lower East Side (Manhattan)",0
"10033 Washington Heights (Manhattan)","10027 Central Harlem - Morningside Heights (Manhattan)",0
"11228 Bensonhurst - Bay Ridge (Brooklyn)","11217 Downtown - Heights - Slope (Brooklyn)",0
"11226 East Flatbush - Flatbush (Brooklyn)","11235 Coney Island - Sheepshead Bay (Brooklyn)",0
"11206 Williamsburg - Bushwick (Brooklyn)","10016 Gramercy Park - Murray Hill (Manhattan)",0
"10029 East Harlem (Manhattan)",NA,NA
"11208 East New York (Brooklyn)","I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",0
"11226 East Flatbush - Flatbush (Brooklyn)",NA,NA
