ResponseId,zipcode_long,expectation in 1 year,home internet,financial situation 2020,financial situation now,financial situation change,credit debt situation,age,gender,gender_des,education,employment,race,race_des,destination,zipcode,expectation_num,internet_num,financial_2020_num,financial_now_num,financial_change_num,credit_debt_num,age_num,gender_num,education_num,employment_num,race_num
R_1hAtZuCIaLE52xN,10304 Stapleton - St. George (Staten Island),Things will be somewhat better,I usually had access but there were some extended outages,I was unable to pay all of my bills,I am unable to pay all of my bills,My financial situation became much worse,I generally pay off the interest but not the balance,1998.0,Woman,,Graduate (Masters or equivalent),Full-time student,Hispanic,,10304 Stapleton - St. George (Staten Island),10304,4,4.0,1.0,1,1,3,26.0,1,5,4,4.0
R_3M5xwYDaGxcpJ8q,10021 Upper East Side (Manhattan),Things will be about the same,I had to find public spaces to access internet,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,There were no major impacts on my financial situation,I generally pay off the interest but not the balance,1982.0,Man,,Graduate (Masters or equivalent),Employed part-time (less than 25 hours per week),White,,10001 Chelsea - Clinton (Manhattan),10021,3,2.0,4.0,4,3,3,42.0,-1,5,5,3.0
R_30xjTf5X7J0QMS8,10473 Pelham - Throgs Neck (Bronx),Things will be much worse,I always had access through my provider,I paid off my bills but was not able to save,I am unable to pay all of my bills,My financial situation became somewhat worse,My debts increase beyond what I earn in a given month,1981.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Hispanic,,10475 Northeast Bronx (Bronx),10473,1,6.0,4.0,1,2,1,43.0,1,4,6,4.0
R_1hLsYkjPudThDtj,10473 Pelham - Throgs Neck (Bronx),Things will be about the same,I always had access through my provider,I had to take on some debt to pay my bills,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I pay off much of the balance,1951.0,Man,,Vocational school,Not in paid employment (looking for work),Black or African-American,,,10473,3,6.0,3.0,4,2,4,73.0,-1,3,1,2.0
R_T6CF8CBEUE9Juk9,11206 Williamsburg - Bushwick (Brooklyn),Things will be somewhat worse,I always had access through my provider,I was unable to pay all of my bills,I can pay off my bills and save a small amount,My financial situation became much better,My debts increase beyond what I earn in a given month,1996.0,Woman,,Vocational school,Full-time student,Black or African-American,,11206 Williamsburg - Bushwick (Brooklyn),11206,2,6.0,1.0,5,5,1,28.0,1,3,4,2.0
R_1mqGS13Z9hMxzVR,10029 East Harlem (Manhattan),Things will be somewhat better,I only had internet access on my phone,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,My financial situation became much worse,My debts increase beyond what I earn in a given month,1974.0,Woman,,Secondary school (high school),Not in paid employment (unable to work due to health/personal reasons),Hispanic,,,10029,4,3.0,4.0,4,1,1,50.0,1,2,2,4.0
R_3kbHuzglTGmmXkC,10473 Pelham - Throgs Neck (Bronx),Things will be somewhat better,I always had access through my provider,I paid off my bills but was not able to save,I am unable to pay all of my bills,My financial situation became somewhat worse,I never purchase anything on credit or take on debt,2002.0,Woman,,Secondary school (high school),Employed part-time (less than 25 hours per week),Hispanic,,10458 Fordham - Bronx Pk (Bronx),10473,4,6.0,4.0,1,2,5,22.0,1,2,5,4.0
R_22X2Y40eT2j1eVm,10014 Greenwich Village - SoHo (Manhattan),Things will be about the same,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,I pay off any balances every month,1950.0,Man,,College or university (Bachelor or equivalent),Employed part-time (less than 25 hours per week),White,,10014 Greenwich Village - SoHo (Manhattan),10014,3,6.0,6.0,6,5,6,74.0,-1,4,5,3.0
R_3ktv20pERjdTPpY,10025 Upper West Side (Manhattan),Things will be somewhat better,I usually had access but there were some extended outages,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,My financial situation became somewhat better,I pay off any balances every month,1978.0,Man,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10025 Upper West Side (Manhattan),10025,4,4.0,5.0,5,4,6,46.0,-1,5,6,3.0
R_33fE8wGHWV7erfo,11375 Ridgewood - Forest Hills (Queens),Things will be much worse,I always had access through my provider,I was unable to pay all of my bills,"All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much worse,I pay off any balances every month,1948.0,Man,,MBA,Not in paid employment (by choice),"White,Immigrant",,,11375,1,6.0,1.0,6,1,6,76.0,-1,6,3,3.0
R_cVhuSZvTBo4P54d,10040 Washington Heights (Manhattan),Things will be somewhat better,I always had access through my provider,I had to take on some debt to pay my bills,I can pay off my bills and save a small amount,My financial situation became much better,I never purchase anything on credit or take on debt,1959.0,Man,,Vocational school,Click to write Choice 7,Black or African-American,,10040 Washington Heights (Manhattan),10040,4,6.0,3.0,5,5,5,65.0,-1,3,0,2.0
R_41lfB1UmIlxX8s1,10025 Upper West Side (Manhattan),Things will be somewhat better,I always had access through my provider,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,There were no major impacts on my financial situation,I pay off any balances every month,1953.0,Woman,,Graduate (Masters or equivalent),Employed part-time (less than 25 hours per week),White,,10022 Gramercy Park - Murray Hill (Manhattan),10025,4,6.0,5.0,5,3,6,71.0,1,5,5,3.0
R_C14GsJjOnx1Bpzr,11433 Jamaica (Queens),Things will be much better,I always had access through my provider,I paid off my bills but was not able to save,I have to take on a lot of debt to pay my bills,My financial situation became somewhat worse,My debts increase beyond what I earn in a given month,1978.0,Woman,,Secondary school (high school),Employed part-time (less than 25 hours per week),Hispanic,,11433 Jamaica (Queens),11433,5,6.0,4.0,3,2,1,46.0,1,2,5,4.0
R_RF5QcB2VJnqLgWJ,11375 Ridgewood - Forest Hills (Queens),Things will be about the same,I only had internet access on my phone,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,There were no major impacts on my financial situation,I pay off any balances every month,1951.0,Man,,Graduate (Masters or equivalent),Not in paid employment (by choice),White,,,11375,3,3.0,4.0,4,3,6,73.0,-1,5,3,3.0
R_2EmgZ3YUeoq7oOl,10002 Union Square - Lower East Side (Manhattan),Things will be much worse,I always had access through my provider,I was unable to pay all of my bills,I am unable to pay all of my bills,My financial situation became much worse,My debts increase beyond what I earn in a given month,1987.0,Woman,,Primary school,Full-time student,White,,10002 Union Square - Lower East Side (Manhattan),10002,1,6.0,1.0,1,1,1,37.0,1,1,4,3.0
R_2U2XjMqLWiVakG6,11234 Canarsie - Flatlands (Brooklyn),Things will be somewhat better,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,There were no major impacts on my financial situation,I never purchase anything on credit or take on debt,1944.0,Man,,Vocational school,Not in paid employment (unable to work due to health/personal reasons),White,,,11234,4,6.0,4.0,4,3,5,80.0,-1,3,2,3.0
R_1TinlaQlMbiDlcZ,11433 Jamaica (Queens),Things will be about the same,I only had internet access on my phone,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,There were no major impacts on my financial situation,I never purchase anything on credit or take on debt,1970.0,Man,,Secondary school (high school),Employed part-time (less than 25 hours per week),"Black or African-American,Immigrant",,11104 Long Island City - Astoria (Queens),11433,3,3.0,5.0,5,3,5,54.0,-1,2,5,2.0
R_1H6xnZvPxbcTlEl,10029 East Harlem (Manhattan),Things will be about the same,I had to find public spaces to access internet,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,My financial situation became somewhat better,I pay off any balances every month,1967.0,Woman,,Secondary school (high school),Not in paid employment (unable to work due to health/personal reasons),Black or African-American,,,10029,3,2.0,4.0,4,4,6,57.0,1,2,2,2.0
R_bOaGpEpSMEcxh29,10002 Union Square - Lower East Side (Manhattan),Things will be somewhat better,I had to use a hotspot to access the internet,"All my bills were paid off each month and I have enough to save, invest, or spend freely",I am unable to pay all of my bills,There were no major impacts on my financial situation,I never purchase anything on credit or take on debt,1987.0,Woman,,Secondary school (high school),Employed part-time (less than 25 hours per week),White,,Click to write Choice 3,10002,4,5.0,6.0,1,3,5,37.0,1,2,5,3.0
R_2DP6feiPVRYHNlM,10025 Upper West Side (Manhattan),Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,I pay off any balances every month,1995.0,Woman,,Doctoral degree,Employed full-time (25+ hours per week),Asian,,10025 Upper West Side (Manhattan),10025,5,6.0,6.0,6,5,6,29.0,1,7,6,1.0
R_25KGPn3dELBUH7S,10009 Union Square - Lower East Side (Manhattan),Things will be about the same,I usually had access but there were some extended outages,I had to take on some debt to pay my bills,I have to take on some debt to pay my bills,My financial situation became somewhat worse,I generally pay off the interest but not the balance,1991.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),White,,10009 Union Square - Lower East Side (Manhattan),10009,3,4.0,3.0,2,2,3,33.0,1,4,6,3.0
R_1DzJASQOXieylEd,11375 Ridgewood - Forest Hills (Queens),Things will be somewhat worse,I always had access through my provider,I had to take on some debt to pay my bills,I have to take on some debt to pay my bills,My financial situation became somewhat better,I pay off any balances every month,1993.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Asian,,11375 Ridgewood - Forest Hills (Queens),11375,2,6.0,3.0,2,4,6,31.0,1,4,6,1.0
R_3dDGO7FoHayPdq2,10473 Pelham - Throgs Neck (Bronx),Things will be about the same,I always had access through my provider,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,1973.0,Woman,,Vocational school,Click to write Choice 7,"Black or African-American,White",,10473 Pelham - Throgs Neck (Bronx),10473,3,6.0,5.0,5,2,2,51.0,1,3,0,5.0
R_2v07bp4gkDzry9G,10025 Upper West Side (Manhattan),Things will be about the same,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely",I can pay off my bills and save a small amount,There were no major impacts on my financial situation,I pay off any balances every month,1949.0,Man,,Secondary school (high school),Not in paid employment (by choice),White,,,10025,3,6.0,6.0,5,3,6,75.0,-1,2,3,3.0
R_ZpXktcQPWCBmvpn,10012 Greenwich Village - SoHo (Manhattan),Things will be much worse,I always had access through my provider,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,My financial situation became much better,I pay off much of the balance,1962.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Immigrant,,10012 Greenwich Village - SoHo (Manhattan),10012,1,6.0,5.0,5,5,4,62.0,1,4,6,0.0
R_czFUOsrT8NOWYwx,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,I pay off any balances every month,1996.0,Woman,,College or university (Bachelor or equivalent),Employed part-time (less than 25 hours per week),"Black or African-American,Hispanic",,10036 Chelsea - Clinton (Manhattan),10002,5,6.0,6.0,6,5,6,28.0,1,4,5,5.0
R_3esfX2UU8U5iDSq,11206 Williamsburg - Bushwick (Brooklyn),Things will be somewhat better,I always had access through my provider,I had to take on some debt to pay my bills,I can pay off my bills but am not able to save,My financial situation became somewhat better,I make the minimum payment and the interest is charged,1996.0,Man,,Primary school,Employed part-time (less than 25 hours per week),"Black or African-American,Native American,White",,11368 Flushing - Clearview (Queens),11206,4,6.0,3.0,4,4,2,28.0,-1,1,5,5.0
R_3m4S1ZDHnujnPtz,10025 Upper West Side (Manhattan),Things will be somewhat better,I always had access through my provider,I paid off my bills but was not able to save,I am unable to pay all of my bills,My financial situation became much worse,My debts increase beyond what I earn in a given month,1991.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Black or African-American,,10006 Lower Manhattan (Manhattan),10025,4,6.0,4.0,1,1,1,33.0,1,4,6,2.0
R_2q1LNkG4H1DPgmQ,10473 Pelham - Throgs Neck (Bronx),Things will be about the same,I usually had access but there were some extended outages,I was unable to pay all of my bills,I can pay off my bills but am not able to save,My financial situation became much worse,I generally pay off the interest but not the balance,1993.0,Man,,Secondary school (high school),Click to write Choice 7,White,,10473 Pelham - Throgs Neck (Bronx),10473,3,4.0,1.0,4,1,3,31.0,-1,2,0,3.0
R_3hsFYKO9vv0QMMf,11226 East Flatbush - Flatbush (Brooklyn),Things will be much worse,I always had access through my provider,I had to take on some debt to pay my bills,I can pay off my bills but am not able to save,My financial situation became somewhat better,I pay off any balances every month,1995.0,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Hispanic,,11226 East Flatbush - Flatbush (Brooklyn),11226,1,6.0,3.0,4,4,6,29.0,-1,4,6,4.0
R_cBhOFOLApMqJwqZ,11234 Canarsie - Flatlands (Brooklyn),Things will be much better,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,My financial situation became somewhat better,I never purchase anything on credit or take on debt,2002.0,Woman,,Secondary school (high school),Click to write Choice 7,Black or African-American,,11234 Canarsie - Flatlands (Brooklyn),11234,5,6.0,4.0,4,4,5,22.0,1,2,0,2.0
R_3M51SdYPau0wXLt,11220 Sunset Park (Brooklyn),Things will be about the same,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became somewhat worse,I pay off any balances every month,1980.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,11209 Bensonhurst - Bay Ridge (Brooklyn),11220,3,6.0,6.0,6,2,6,44.0,1,5,6,3.0
R_1IRvWIKAAsszXtl,11206 Williamsburg - Bushwick (Brooklyn),Things will be somewhat better,I usually had access but there were some extended outages,I had to take on some debt to pay my bills,I am unable to pay all of my bills,My financial situation became much worse,I pay off much of the balance,1969.0,Woman,,Secondary school (high school),Employed full-time (25+ hours per week),Black or African-American,,11224 Coney Island - Sheepshead Bay (Brooklyn),11206,4,4.0,3.0,1,1,4,55.0,1,2,6,2.0
R_3KH34hrR3zNPW2V,11226 East Flatbush - Flatbush (Brooklyn),Things will be somewhat better,I always had access through my provider,I had to take on a lot of debt to pay my bills,I can pay off my bills but am not able to save,My financial situation became much worse,I make the minimum payment and the interest is charged,1998.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),Black or African-American,,10031 Washington Heights (Manhattan),11226,4,6.0,2.0,4,1,2,26.0,1,5,6,2.0
R_yxr7e2VkSPKI5QR,11226 East Flatbush - Flatbush (Brooklyn),Things will be about the same,I had to use a hotspot to access the internet,I paid off my bills but was not able to save,I have to take on some debt to pay my bills,My financial situation became somewhat better,I make the minimum payment and the interest is charged,1993.0,Man,,Secondary school (high school),Click to write Choice 7,Black or African-American,,11226 East Flatbush - Flatbush (Brooklyn),11226,3,5.0,4.0,2,4,2,31.0,-1,2,0,2.0
R_3dS9CJYh8G1hFuZ,11234 Canarsie - Flatlands (Brooklyn),Things will be about the same,I had to use a hotspot to access the internet,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,There were no major impacts on my financial situation,I pay off much of the balance,1991.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),White,,11234 Canarsie - Flatlands (Brooklyn),11234,3,5.0,4.0,4,3,4,33.0,1,4,6,3.0
R_2w1vcUdMkcoRrTG,10029 East Harlem (Manhattan),Things will be somewhat better,I always had access through my provider,I had to take on some debt to pay my bills,I can pay off my bills and save a small amount,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,1989.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Hispanic,,10029 East Harlem (Manhattan),10029,4,6.0,3.0,5,2,2,35.0,1,4,6,4.0
R_2fJUdC40koSehK0,10453 Crotona -Tremont (Bronx),Things will be much better,I only had internet access on my phone,I was unable to pay all of my bills,I am unable to pay all of my bills,There were no major impacts on my financial situation,I never purchase anything on credit or take on debt,1990.0,Woman,,Secondary school (high school),Not in paid employment (looking for work),Black or African-American,,,10453,5,3.0,1.0,1,3,5,34.0,1,2,1,2.0
R_3MyWkVWUiD4ocA6,10029 East Harlem (Manhattan),Things will be much better,I always had access through my provider,I paid off my bills but was not able to save,I have to take on a lot of debt to pay my bills,My financial situation became somewhat worse,I never purchase anything on credit or take on debt,1981.0,Woman,,Secondary school (high school),Employed full-time (25+ hours per week),"Hispanic,Native American",,10029 East Harlem (Manhattan),10029,5,6.0,4.0,3,2,5,43.0,1,2,6,5.0
R_2ARRNvCIwPP1HhW,10025 Upper West Side (Manhattan),Things will be somewhat better,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,1998.0,Woman,,College or university (Bachelor or equivalent),Full-time student,Hispanic,,10025 Upper West Side (Manhattan),10025,4,6.0,4.0,5,2,2,26.0,1,4,4,4.0
R_2cbmiO7NM58r1D8,10009 Union Square - Lower East Side (Manhattan),Things will be about the same,I usually had access but there were some extended outages,I had to take on some debt to pay my bills,I have to take on some debt to pay my bills,My financial situation became somewhat worse,I generally pay off the interest but not the balance,1991.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),White,,10003 Union Square - Lower East Side (Manhattan),10009,3,4.0,3.0,2,2,3,33.0,1,4,6,3.0
R_1FRI8CCQYvjW5oS,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",There were no major impacts on my financial situation,I generally pay off the interest but not the balance,1983.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,6.0,6,3,3,41.0,1,5,6,3.0
R_2XcUx0PC4DrFF37,10025 Upper West Side (Manhattan),Things will be about the same,I usually had access but there were some extended outages,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,There were no major impacts on my financial situation,I pay off much of the balance,1975.0,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Asian,,10004 Lower Manhattan (Manhattan),10025,3,4.0,5.0,5,3,4,49.0,-1,4,6,1.0
R_2zGSwpaqLRq0i7y,10302 Port Richmond (Staten Island),Things will be much better,I always had access through my provider,I paid off my bills and saved a small amount,I am unable to pay all of my bills,My financial situation became much worse,I pay off any balances every month,1980.0,Woman,,Vocational school,Full-time student,"Arab/Middle Eastern,Black or African-American,Hispanic,White",,10302 Port Richmond (Staten Island),10302,5,6.0,5.0,1,1,6,44.0,1,3,4,5.0
R_2tGvbtuRUAjJRul,10453 Crotona -Tremont (Bronx),Things will be somewhat worse,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely",I have to take on some debt to pay my bills,My financial situation became somewhat better,I make the minimum payment and the interest is charged,1990.0,Man,,Secondary school (high school),Not in paid employment (looking for work),Black or African-American,,,10453,2,6.0,6.0,2,4,2,34.0,-1,2,1,2.0
R_d69HmrgF8HTXHS9,11207 East New York (Brooklyn),Things will be much better,I always had access through my provider,I paid off my bills and saved a small amount,"All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became somewhat better,My debts increase beyond what I earn in a given month,1982.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10024 Upper West Side (Manhattan),11207,5,6.0,5.0,6,4,1,42.0,1,5,6,3.0
R_2y79HVwQGNbrQed,10002 Union Square - Lower East Side (Manhattan),Things will be somewhat worse,I usually had access but there were some extended outages,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,1987.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,2,4.0,4.0,4,2,2,37.0,1,5,6,3.0
R_1mQIIYdKTZS8oVb,11206 Williamsburg - Bushwick (Brooklyn),Things will be somewhat better,I always had access through my provider,I had to take on some debt to pay my bills,I am unable to pay all of my bills,There were no major impacts on my financial situation,I make the minimum payment and the interest is charged,1991.0,Woman,,Secondary school (high school),Not in paid employment (unable to work due to health/personal reasons),Hispanic,,,11206,4,6.0,3.0,1,3,2,33.0,1,2,2,4.0
R_3m80V0ciKHE0DRK,11234 Canarsie - Flatlands (Brooklyn),Things will be somewhat better,I always had access through my provider,I had to take on some debt to pay my bills,I am unable to pay all of my bills,My financial situation became much worse,I generally pay off the interest but not the balance,2001.0,Woman,,Vocational school,Full-time student,"Black or African-American,Hispanic",,10279 Lower Manhattan (Manhattan),11234,4,6.0,3.0,1,1,3,23.0,1,3,4,5.0
R_3Rg541d9iwwkvJP,11220 Sunset Park (Brooklyn),Things will be somewhat better,I had to use a hotspot to access the internet,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,There were no major impacts on my financial situation,I generally pay off the interest but not the balance,1999.0,Man,,Graduate (Masters or equivalent),Full-time student,Asian,,11220 Sunset Park (Brooklyn),11220,4,5.0,4.0,5,3,3,25.0,-1,5,4,1.0
R_WDJm2JEXqhH4HXr,11236 Canarsie - Flatlands (Brooklyn),Things will be somewhat worse,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I never purchase anything on credit or take on debt,1980.0,Woman,,Vocational school,Not in paid employment (unable to work due to health/personal reasons),Hispanic,,,11236,2,6.0,4.0,4,2,5,44.0,1,3,2,4.0
R_1ODzvaDMCcQzLGe,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,My financial situation became somewhat better,I pay off any balances every month,2001.0,Woman,,College or university (Bachelor or equivalent),Full-time student,Black or African-American,,10001 Chelsea - Clinton (Manhattan),10002,5,6.0,4.0,5,4,6,23.0,1,4,4,2.0
R_2Pnwf1azbYVLfsW,10473 Pelham - Throgs Neck (Bronx),Things will be about the same,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,There were no major impacts on my financial situation,I pay off much of the balance,1964.0,Woman,,College or university (Bachelor or equivalent),Employed part-time (less than 25 hours per week),Hispanic,,10473 Pelham - Throgs Neck (Bronx),10473,3,6.0,4.0,4,3,4,60.0,1,4,5,4.0
R_2rGvfBSN32di7IY,10304 Stapleton - St. George (Staten Island),Things will be somewhat worse,I always had access through my provider,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,There were no major impacts on my financial situation,I pay off any balances every month,1980.0,Woman,,Vocational school,Employed full-time (25+ hours per week),White,,10303 Port Richmond (Staten Island),10304,2,6.0,5.0,5,3,6,44.0,1,3,6,3.0
R_1dgVjB6qprc7Sy6,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I always had access through my provider,I was unable to pay all of my bills,"All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became much better,My debts increase beyond what I earn in a given month,1988.0,Man,,Doctoral degree,Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,6.0,1.0,6,5,1,36.0,-1,7,6,3.0
R_2QFFNcKXqiH767c,10001 Chelsea - Clinton (Manhattan),Things will be much worse,I always had access through my provider,I was unable to pay all of my bills,I am unable to pay all of my bills,My financial situation became much worse,My debts increase beyond what I earn in a given month,1988.0,Man,,Primary school,Full-time student,White,,"I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",10001,1,6.0,1.0,1,1,1,36.0,-1,1,4,3.0
R_2rVz86VIWXnFzzP,11226 East Flatbush - Flatbush (Brooklyn),Things will be about the same,I always had access through my provider,I had to take on some debt to pay my bills,I can pay off my bills and save a small amount,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,1992.0,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),White,,11226 East Flatbush - Flatbush (Brooklyn),11226,3,6.0,3.0,5,2,2,32.0,1,4,6,3.0
R_3iqKLHeSUaqxV9w,10025 Upper West Side (Manhattan),Things will be much better,I only had internet access on my phone,I had to take on a lot of debt to pay my bills,I can pay off my bills and save a small amount,My financial situation became somewhat better,I make the minimum payment and the interest is charged,1986.0,Man,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10025 Upper West Side (Manhattan),10025,5,3.0,2.0,5,4,2,38.0,-1,5,6,3.0
R_3PA15nY9g5vlaz2,10024 Upper West Side (Manhattan),Things will be about the same,I always had access through my provider,I paid off my bills but was not able to save,I have to take on some debt to pay my bills,My financial situation became somewhat worse,I generally pay off the interest but not the balance,2000.0,Prefer not to answer,,Graduate (Masters or equivalent),Employed part-time (less than 25 hours per week),Hispanic,,10001 Chelsea - Clinton (Manhattan),10024,3,6.0,4.0,2,2,3,24.0,0,5,5,4.0
R_2sXzTqR7G1mpPfM,11375 Ridgewood - Forest Hills (Queens),Things will be about the same,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely",There were no major impacts on my financial situation,I pay off much of the balance,1976.0,Man,,Graduate (Masters or equivalent),Click to write Choice 7,White,,10280 Lower Manhattan (Manhattan),11375,3,6.0,6.0,6,3,4,48.0,-1,5,0,3.0
R_1Cd9YU1Rbz4rMA4,11433 Jamaica (Queens),Things will be about the same,I only had internet access on my phone,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,There were no major impacts on my financial situation,I never purchase anything on credit or take on debt,1970.0,Man,,Secondary school (high school),Employed full-time (25+ hours per week),"Black or African-American,Immigrant",,11104 Long Island City - Astoria (Queens),11433,3,3.0,5.0,5,3,5,54.0,-1,2,6,2.0
R_xyJMbNfI2avc2nn,11220 Sunset Park (Brooklyn),Things will be somewhat better,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,My financial situation became somewhat worse,I pay off any balances every month,1999.0,Man,,College or university (Bachelor or equivalent),Full-time student,White,,11218 Borough Park (Brooklyn),11220,4,6.0,4.0,5,2,6,25.0,-1,4,4,3.0
R_123k9PhJeovcH9V,10025 Upper West Side (Manhattan),Things will be somewhat worse,I always had access through my provider,I paid off my bills but was not able to save,I have to take on some debt to pay my bills,There were no major impacts on my financial situation,I generally pay off the interest but not the balance,1969.0,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10025 Upper West Side (Manhattan),10025,2,6.0,4.0,2,3,3,55.0,1,5,6,3.0
R_24pdV7vjYupl0nm,11206 Williamsburg - Bushwick (Brooklyn),Things will be about the same,I had to find public spaces to access internet,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I pay off much of the balance,1994.0,Man,,Graduate (Masters or equivalent),Employed part-time (less than 25 hours per week),Black or African-American,,11206 Williamsburg - Bushwick (Brooklyn),11206,3,2.0,4.0,4,2,4,30.0,-1,5,5,2.0
R_3r0ex9DKuABRmV6,11234 Canarsie - Flatlands (Brooklyn),Things will be about the same,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,My financial situation became somewhat worse,I pay off any balances every month,1999.0,Woman,,College or university (Bachelor or equivalent),Full-time student,Asian,,11234 Canarsie - Flatlands (Brooklyn),11234,3,6.0,4.0,5,2,6,25.0,1,4,4,1.0
R_3DdKl18B4ehRhkR,10029 East Harlem (Manhattan),Things will be much better,I always had access through my provider,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,My financial situation became much better,I pay off any balances every month,1995.0,Man,,Graduate (Masters or equivalent),Full-time student,White,,10029 East Harlem (Manhattan),10029,5,6.0,5.0,5,5,6,29.0,-1,5,4,3.0
R_1mOyxdF34eR2kVO,11433 Jamaica (Queens),Things will be about the same,I usually had access but there were some extended outages,I had to take on a lot of debt to pay my bills,I have to take on a lot of debt to pay my bills,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,2002.0,Woman,,College or university (Bachelor or equivalent),Not in paid employment (unable to work due to health/personal reasons),Asian,,,11433,3,4.0,2.0,3,2,2,22.0,1,4,2,1.0
