,Unnamed: 0,ResponseId,zipcode,loss_gain_1,loss_loss_1,loss_gain_2,loss_loss_2,loss_gain_3,loss_loss_3,alloc_debt,alloc_spend,alloc_save,alloc_invest,Age,Risk_preference,amount_later17,question,delay_sooner,delay_later,amount_sooner,amount_later,question_num,block,choice,choice_text,score,presbias,absolmag,gainloss
2568,2569,R_23difKdGXrQgMhF,11433 Jamaica (Queens),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",0,0,0,1000,28,1,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,4,1,1,0
2576,2577,R_2415ZF7ZyPGoxuN,11234 Canarsie - Flatlands (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",500,300,200,0,23,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
2586,2587,R_246Oz2iNiyKmeIS,11220 Sunset Park (Brooklyn),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",250,250,325,175,27,2,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,3,0,1,1
2595,2596,R_24A6IiGJDaQuAis,11226 East Flatbush - Flatbush (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",400,200,200,200,51,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
2605,2606,R_24bEUVrgXUylCwY,10025 Upper West Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",0,0,1000,0,64,4,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
2615,2616,R_24NMVbeqCoEDC4h,10473 Pelham - Throgs Neck (Bronx),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",50,50,400,500,22,0,510,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,4,0,0,0
2624,2625,R_24pdV7vjYupl0nm,11206 Williamsburg - Bushwick (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",300,200,300,200,29,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
2634,2635,R_25F02ah2c9ebXZl,11234 Canarsie - Flatlands (Brooklyn),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",889,12,89,10,30,4,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
2644,2645,R_25F0SjKzmPxCsWD,10002 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",450,100,200,250,38,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,13,0,0,0
2653,2654,R_25KGPn3dELBUH7S,10009 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",0,300,500,200,32,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,13,0,0,0
2662,2663,R_25T2wVA3Qy8g2Id,10013 Greenwich Village - SoHo (Manhattan),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",200,200,300,300,40,0,520,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,10,0,1,0
2671,2672,R_25TrMV4O2ztdQ4p,11433 Jamaica (Queens),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",700,100,100,100,50,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,7,0,0,0
2680,2681,R_25uvxVntGFlnW9S,11226 East Flatbush - Flatbush (Brooklyn),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",250,250,250,250,27,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,12,0,1,0
2689,2690,R_25YC4a1MWOVh9fg,11206 Williamsburg - Bushwick (Brooklyn),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",300,200,300,200,27,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,1,1
2699,2700,R_25zn4G5zwHYjFNi,10457 Crotona -Tremont (Bronx),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",500,300,100,100,33,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
2709,2710,R_25ZrgCAF8eKFiUw,11208 East New York (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",750,0,0,250,23,4,520,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,8,0,1,1
2717,2718,R_262NskGMiVvJ81X,10111 Chelsea - Clinton (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",100,300,200,400,41,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,0,0
2727,2728,R_26fG8Dk1HewQwso,11210 East Flatbush - Flatbush (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",500,350,50,100,21,1,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,8,0,0,0
2734,2735,R_26fIXERJLcFHH52,11220 Sunset Park (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",300,200,500,0,27,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
2744,2745,R_26fMwTK5OkgKp4d,10467 Fordham - Bronx Pk (Bronx),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",500,100,50,350,24,4,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,1,0,1
2754,2755,R_26gUD3dG2JQHUOg,10001 Chelsea - Clinton (Manhattan),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",800,100,0,100,21,1,520,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,5,0,1,1
2763,2764,R_271Hi9HHYaEVCca,10453 Crotona -Tremont (Bronx),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",500,0,0,500,27,0,520,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,7,0,0,1
2773,2774,R_27CJXihxMb01yMg,11234 Canarsie - Flatlands (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",500,250,250,0,59,0,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,8,0,1,0
2782,2783,R_27Cl7Mlpi2oe91m,10304 Stapleton - St. George (Staten Island),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",300,200,500,0,22,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,1,1
2792,2793,R_27EEj10RGWSAtG3,10007 Lower Manhattan (Manhattan),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",200,200,200,400,27,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,9,0,0,0
2801,2802,R_27lmrtOYknHNpaE,10302 Port Richmond (Staten Island),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",300,200,300,200,46,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,15,1,0,0
2811,2812,R_27lYY6dh2sghbYA,10002 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",250,300,250,200,33,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,13,0,0,0
2820,2821,R_27qCQZAPoUJvemW,11226 East Flatbush - Flatbush (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",415,52,272,261,48,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,14,0,0,1
2829,2830,R_27Qmu7aulPSTXCQ,11433 Jamaica (Queens),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",700,300,0,0,33,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,8,0,0,1
2838,2839,R_27wfk0kHvV3a55e,11226 East Flatbush - Flatbush (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",200,100,500,200,28,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,9,1,0,1
2847,2848,R_27wVLUvmJu61BGr,10002 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",1000,0,0,0,40,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,14,0,1,1
2857,2858,R_28NvoYMKZt8dehg,10304 Stapleton - St. George (Staten Island),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",200,300,250,250,34,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,1,1
2867,2868,R_28ZAxI5XkYBn6YV,10002 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",200,300,200,300,36,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
2877,2878,R_28ZJSTwnShdD9Kk,10002 Union Square - Lower East Side (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",300,500,100,100,27,4,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
2887,2888,R_299UAIIFfxnPL4V,11209 Bensonhurst - Bay Ridge (Brooklyn),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",200,300,250,250,36,0,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,7,0,0,0
2894,2895,R_29b87q9MRovGltm,11433 Jamaica (Queens),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",800,0,200,0,34,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
2904,2905,R_29iWFhugnnZ9urV,10025 Upper West Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",0,0,0,1000,53,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,7,0,0,0
2913,2914,R_29n8f3qauVgiC6x,11433 Jamaica (Queens),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",1000,0,0,0,29,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
2923,2924,R_2aaf6KahPgHIvBJ,11234 Canarsie - Flatlands (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",1000,0,0,0,79,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,13,0,1,1
2932,2933,R_2agHC9G1sMxWsZ7,10003 Union Square - Lower East Side (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",500,0,500,0,30,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
2942,2943,R_2aKXUQnLAeGikae,10009 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",1000,0,0,0,30,2,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
2952,2953,R_2ALslmMk4QjwDtD,10473 Pelham - Throgs Neck (Bronx),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",500,0,500,0,53,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,14,1,0,1
2962,2963,R_2ANh3ccnUTRzrfE,10001 Chelsea - Clinton (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",0,350,0,650,21,0,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,8,0,0,0
2971,2972,R_2ARRNvCIwPP1HhW,10025 Upper West Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",150,350,200,300,25,2,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,0,0
2979,2980,R_2aXjsefJKAqs5Xt,10021 Upper East Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",600,400,0,0,21,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,14,0,1,1
2989,2990,R_2b1THk76A4knGvu,11226 East Flatbush - Flatbush (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",400,0,450,150,25,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,1,1,0
2997,2998,R_2b1WBp3gwY4oFbr,10025 Upper West Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",300,150,50,500,37,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,0,0
3005,3006,R_2B2L2kJ7Btacn8o,10005 Lower Manhattan (Manhattan),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",200,200,300,300,24,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,6,0,0,0
3014,3015,R_2b3jXiEsHpVSdId,11422 Southeast Queens (Queens),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",700,100,100,100,22,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,15,0,1,0
3024,3025,R_2bK647OxkfOU15m,11234 Canarsie - Flatlands (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",500,100,200,200,21,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,0,0
3034,3035,R_2bKuoN7lGZseyJ0,11103 Long Island City - Astoria (Queens),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",300,300,200,200,32,0,510,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,0,0,0,0
3044,3045,R_2BqVtxlVhSlmV6m,11692 Rockaways (Queens),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",200,300,0,500,23,1,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,9,0,0,0
3053,3054,R_2bWac1uvr7y7FiJ,10002 Union Square - Lower East Side (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",400,200,200,200,36,4,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
3063,3064,R_2ByBwMmm19qiy7M,11201 Downtown - Heights - Slope (Brooklyn),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",300,200,300,200,41,0,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,5,1,1,1
3071,3072,R_2BzieCaEdNr0zck,10473 Pelham - Throgs Neck (Bronx),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",500,0,250,250,40,0,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,5,0,0,1
3079,3080,R_2c1RLPiBnUGBy7A,10002 Union Square - Lower East Side (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",200,300,250,250,36,3,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,8,0,0,0
3086,3087,R_2c6kx6xW9EAyN8s,11220 Sunset Park (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",0,0,500,500,45,4,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,6,1,0,0
3093,3094,R_2c8IjOXv8tZ1sMs,11226 East Flatbush - Flatbush (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",350,150,500,0,23,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
3103,3104,R_2cbmiO7NM58r1D8,10009 Union Square - Lower East Side (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",0,500,0,500,32,1,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,6,0,0,0
3111,3112,R_2CBW5FkNftVXNiX,10025 Upper West Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",150,250,300,300,38,2,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,8,0,0,0
3120,3121,R_2cC1my9uLFsto1x,11220 Sunset Park (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",1000,0,0,0,41,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
3130,3131,R_2CJuwGyutXUuPyy,11101 Long Island City - Astoria (Queens),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",0,0,600,400,58,0,520,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,1,1,1,1
3140,3141,R_2ckf17s9LyfcEbY,11226 East Flatbush - Flatbush (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",500,0,500,0,40,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
3150,3151,R_2CppLeFVRDgczfT,10011 Chelsea - Clinton (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",500,100,200,200,27,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
3160,3161,R_2cq1J1fWkHBFS3L,10473 Pelham - Throgs Neck (Bronx),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",1000,0,0,0,29,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
3170,3171,R_2CUlbj06mo2wCzX,10029 East Harlem (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",450,250,200,100,21,4,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,0,0
3177,3178,R_2CVBjjfOuTWYwWG,10029 East Harlem (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",250,500,250,0,25,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
3187,3188,R_2CvT1DP7mxRL5f3,10029 East Harlem (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",600,150,250,0,52,0,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,6,0,0,0
3195,3196,R_2cvWmsDdcgzxX6e,10029 East Harlem (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",400,300,300,0,49,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
3205,3206,R_2CWeJeaWZLIRlL9,10025 Upper West Side (Manhattan),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",50,200,250,500,45,2,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
3215,3216,R_2D0HoL0ez2xVYGW,11226 East Flatbush - Flatbush (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",356,222,189,233,48,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,14,0,0,1
3224,3225,R_2dm9q7DmTAjIttg,10453 Crotona -Tremont (Bronx),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",500,500,0,0,59,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,1,1
3234,3235,R_2DP6feiPVRYHNlM,10025 Upper West Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",1000,0,0,0,28,0,510,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,6,0,0,0
3244,3245,R_2dpdumix6KOI79U,10462 Pelham - Throgs Neck (Bronx),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",300,50,400,250,31,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
3254,3255,R_2dsGd7fKhnmSY7q,10029 East Harlem (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",1000,0,0,0,21,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,14,0,1,0
